idstd,id,a4a,a6a,a2,a1c,a0,a3a,a6c,a7,panel,a1a,a14d,a14m,a14y,a14h,a14min,a20y,a20m,a20d,a1,a12,a7a,a7b,a11,a7c,a9,b1,b1x,b3a,b2a,b2b,b2c,b2d,b4,b4a,b5,b6,b6b,b7,b7a,b8,b8x,c3,c4,c5,c31,c6,c7,c8a,c8b,c9a,c9b,c10,c11,c43,c44,c12,c13,c14,c33,c45,c152,c162,c172,c22b,c36,c37,c39,c42,d1a1a,d1a3,d2,d2x,n3,n3x,f1,d3a,d3b,d3c,d31x,d42,d43a,d43b,d4a,d4b,d342,d352,d8,d12a,d12b,d13,d38x,d44,d45a,d45b,d14a,d14b,d412,o1,o2,o3a2,o3b2,j31,r1,r2,r3,r4,r5,r6,r7,r8,r9,r10,r11,e1,e2b,e312,e32,e33,e6,e11,h1,h2,h32x,h5,h62x,h8,h9,d1a6a,d1a6b,d1a6c,d1a6cx,g5a,g5b,g5bx,g2,g3,g4,g34,ge3,ge3a,ge7,ge8d,k3a,k3i,k3j,k3bc,k3e,k3f,k3dgh,k4,n5a,n5b,k5a,k5a1,k5i,k5i1,k5j,k5j1,k5bc,k5bc1,k5e,k5e1,k5f,k5f1,k5dgh,k5dgh1,k6,k82b,k82a,k9,k10,k11,k13,k14a,k14b,k14c,k14d,k14e,k15a,k15d,k162a,k162b,k17,k20a1,k32,k21,k33,k342,k342x,k35,k36,k38,k392,k392x,k40,j2,j3,j4,j5,j32,j33,j35,j36,j37,j38,j39,j40,j6a,j41,j42,j43,j7a,j7b,j10,j11,j12,j13,j14,j15,k30,g30a,j30c,j30f,h30,i30,d30b,c30a,l30b,l30a,j30e,e30,j30b,j30a,d30a,k30_finance_pos,g30_land_pos,j30_permit_pos,j30_corruption_pos,j30_courts_pos,j30_crime_pos,d30_trade_pos,c30_electricity_pos,l30_workforce_pos,l30_labor_pos,j30_instability_pos,e30_informal_pos,j30_taxadmin_pos,j30_taxrate_pos,d30_transport_pos,m1a,m1a_finance_pos,m1a_land_pos,m1a_permit_pos,m1a_corruption_pos,m1a_courts_pos,m1a_crime_pos,m1a_trade_pos,m1a_electricity_pos,m1a_workforce_pos,m1a_labor_pos,m1a_instability_pos,m1a_informal_pos,m1a_taxadmin_pos,m1a_taxrate_pos,m1a_transport_pos,l1,l2,l9b,l9b1,l3a,l3b,l5a,l5b,l5,l4a1,l4a2,l4b,l10,l11a1,l11a,l11b1,l11b,l12a1,l12a,l34,l35,l36,l1a,l6,l6a,l8,l37,l38a,l38b,l40,l41,l30d,l30c,c32,c32b,c34,c34b,c34bx,c34c,n2a,n2a2,n2e,n2i,n7a,n11,a15d,a15m,a15y,a15h,a15min,a16,a17,a18,a19h,a19m,a13,a1d,a3b,a3c,a3,d1a2_v4,stratificationregioncode,stratificationsizecode,stratificationsectorcode,stratificationpanelcode,wstrict,wmedian,wweak,strata
1629075,3,4,2,3,1,3,3,17,1,1,1,14,8,2025,10,40,2024,3,21,95,2,5.0,1.0,2.0,1.0,,4,,1,100,0,0,0,2,,2006,17,2006,35,2,1,ISO 9000,2,,,,2,,,,,,2,,2,,2,,,,1,2,,,2,2,,2,3,62,100,62540000.0,"Sixty two million, five hundred and forty thousand",57645000.0,"Fifty seven million, six hundred forty five thousand",,60,10,30,,,,,,,,,2013.0,30,70,1.0,Austria,1.0,0.0,7.0,0.0,7.0,2.0,2,,4,4,4,,,,,,,,,,,,3,,,1,2,2,2,2,,,2,,2,,,,,,,,,2,,,4,2,,2,2,70,30,0,0,0,0,0,2,,,,,,,,,,,,,,,,,2,1,2,-9.0,2006.0,61200000.0,1.0,1.0,1.0,2.0,1.0,2.0,100000000.0,2,2,2,1.0,,,2,0,,,,,0,,,,10,1,1.0,2.0,2.0,,12,1,3,2,,-7.0,2,,2,,0.0,,2,,,2,,,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,14,7,13,6,5,11,12,4,8,2,15,10,9,1,3,15,14,7,13,6,5,11,12,4,8,2,15,10,9,1,3,17,17,100.0,,,,,,0.0,5,7,5,2,,,,,,,1,1.0,0.0,0,0,,,2,,,2,,0,0,535,12263.0,113,1.0,,2825,1340000,580000.0,,,,20,14,8,2025,12,23,1,1,1,,,1,1,2,2,2,4922,3,2,4,1,1.0,1.0,1.0,42
1629076,5,4,1,3,1,3,3,85,2,1,1,24,8,2025,10,3,2024,3,21,95,3,,,,,,3,,1,100,0,0,0,2,,2021,8,2021,14,2,2,,2,,,,2,,,,,,2,,1,100.0,2,,,,1,2,,,2,2,,1,2,4,72,9730500.0,Nine million seven hundred thirty thousand five hundred,5686000.0,Five million six hundred and eighty and six thousand,,100,0,0,,,,,,,,,,100,0,,,,,,,,,2,,4,4,3,1.0,2.0,,1.0,2.0,2.0,1.0,2.0,,1.0,1.0,2,-4.0,3.0,1,2,2,2,1,1.0,"We specialize in construction and are committed to delivering high-quality services to the community. In bridge construction projects, we frequently utilize online resources to support the development of innovative and efficient designs.",2,,1,120000.0,,,,,,,,2,,,3,1,500000.0,2,2,100,0,0,0,0,0,0,1,450000.0,0.0,100.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,1,2,2,,,,,,,,,,,2,2,2,2.0,,,2,0,,,,,0,,,,10,1,3.0,2.0,2.0,,52,1,1,2,,3.0,2,,1,20.0,0.0,,2,,,2,,,1,0,2,1,2,3,1,1,1,1,3,1,2,3,2,4,3,11,2,13,12,10,9,5,8,14,7,6,15,1,14,4,3,11,2,13,12,10,9,5,8,14,7,6,15,1,8,5,40.0,,,,,,0.0,4,2,2,2,,,,,,,2,,,0,0,,,2,,,2,,1,1,0,0.0,0,,,0,950000,66500.0,,,,7,24,8,2025,11,27,1,2,1,,,1,1,2,2,2,4290,3,1,4,1,2.0889883,3.6934605,5.680274,36
1629077,9,4,2,3,1,1,3,1000,1,1,1,18,8,2025,9,57,2025,3,21,95,2,6.0,1.0,2.0,1.0,,1,,1,100,0,0,0,2,,2016,70,2016,15,2,2,,1,16.0,2.0,180000.0,1,100.0,2.0,20.0,,620000.0,2,,1,40.0,2,,,,1,2,,,2,1,10.0,2,2,1,51,32058000.0,Thirty-two million fifty-eight thousand,26740000.0,Twenty six million and seven hundred and  forty thousand,69.0,100,0,0,,,,,,,,,,65,35,2.0,,,,,,,,2,,3,3,3,-7.0,2.0,,2.0,,,,2.0,,1.0,1.0,2,5.0,2.0,1,1,2,2,1,1.0,"We offer a diverse range of products and are continuously working to introduce new formulations from abroad. Currently, our most popular products are Kor Kori and Namko, both made from semolina flour. These items have gained strong traction and",2,,1,150000.0,,,,,,,,1,45.0,2.0,3,2,,2,2,60,20,0,20,0,0,0,1,5200000.0,7000000.0,30.0,,60.0,,0.0,,10.0,,0.0,,0.0,,0.0,,2,1,2,1.0,2024.0,2200000.0,2.0,,,,,,,2,2,2,1.0,,,1,0,,,,,0,,,,10,1,3.0,2.0,2.0,,30,1,1,2,,3.0,2,,2,,0.0,,2,,,2,,,2,1,1,2,1,1,1,1,1,2,2,1,2,2,2,12,15,13,2,3,11,7,14,4,6,1,8,9,10,5,11,12,15,13,2,3,11,7,14,4,6,1,8,9,10,5,180,180,30.0,,60.0,120.0,0.0,0.0,,20,30,10,2,,,,,,,2,,,70,0,,,2,,,2,,1,2,3400,40800.0,0,,,0,6030000,92000.0,12600000.0,,51000000.0,9,18,8,2025,11,43,1,2,1,,,1,1,2,2,2,1079,3,2,4,1,1.0,1.0,1.0,42
1629078,19,4,2,1,1,3,1,60,2,1,1,13,8,2025,10,1,2025,3,21,95,2,,,,,,4,,1,100,0,0,0,1,25.0,2002,25,2002,23,2,2,,1,30.0,2.0,7000.0,2,,,,,,1,40.0,1,20.0,2,,,,-7,2,,,1,2,,2,4,62,100,56000000.0,Fifty-six million,15000000.0,Fifteen million,,100,0,0,,,,,,,,,,100,0,,,,,,,,,2,,3,4,3,3.0,1.0,3.0,1.0,2.0,4.0,1.0,1.0,1.0,1.0,1.0,2,-4.0,3.0,1,2,2,1,2,,,2,,2,,,,,,,,,2,,,3,1,150000.0,2,2,100,0,0,0,0,0,0,2,,,,,,,,,,,,,,,,,1,2,2,,,,,,,,,,,2,2,2,1.0,,,2,70,3.0,,0.0,-6.0,70,3.0,,-6.0,80,1,1.0,2.0,2.0,,150,1,1,2,,3.0,1,1.0,1,20.0,0.0,,2,,,2,,,3,3,2,2,0,0,0,3,2,0,3,3,2,2,0,2,1,8,10,6,14,11,9,12,13,15,4,5,7,3,12,2,1,8,10,6,14,11,9,12,13,15,4,5,7,3,60,50,95.0,,,,,,0.0,3,10,47,2,,,,,,,2,,,0,0,,,2,,,2,,0,0,3000,30000.0,0,,,-9,9000000,350000.0,,,,20,13,8,2025,11,33,1,1,1,,,1,1,1,1,2,6190,1,2,4,1,3.8728228,7.4039474,15.461971,12
1629079,20,4,1,1,1,3,1,10,1,1,1,14,9,2025,14,5,2025,3,21,95,2,4.0,1.0,2.0,1.0,,4,,1,100,0,0,0,2,,2003,15,2003,20,2,2,,2,,,,1,50.0,0.0,45.0,8.0,,1,50.0,2,,2,,,,2,1,20.0,1.0,2,2,,2,3,4,100,50000000.0,Fifty million,30000000.0,Thirty million,,100,0,0,,,,,,,,,,30,70,2.0,,,,,,,,2,,2,3,2,,,,,,,,,,,,1,30.0,3.0,1,2,2,2,2,,,2,,2,,,,,,,,,1,14.0,2.0,2,2,,1,1,100,0,0,0,0,0,0,1,2000000.0,0.0,100.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,1,2,2,,,,,,,,,,,2,2,2,6.0,,,2,30,1.0,,0.0,-5.0,25,3.0,,2.0,10,1,2.0,2.0,2.0,,60,2,2,-6,,,1,2.0,1,45.0,0.0,,2,,,2,,,2,3,1,2,1,1,1,3,0,0,2,1,1,1,1,10,12,11,13,3,5,14,1,8,2,6,4,9,15,7,8,10,12,11,13,3,5,14,1,8,2,6,4,9,15,7,35,15,60.0,,,,,,0.0,10,8,17,1,,,,,,0.0,2,,,8,0,,,2,,,1,1.0,0,0,1227,13500.0,0,,,0,4830000,183259.0,,,,9,14,9,2025,15,39,1,4,1,,,1,2,1,1,2,4290,1,1,4,1,3.1127183,6.096585,11.812615,6
1629080,22,2,3,4,1,3,4,130,2,1,2,9,8,2025,15,39,2025,3,21,95,1,,,,,,4,,1,100,0,0,0,2,,2007,35,2007,19,2,2,,2,,,,1,45.0,0.0,50.0,,450000.0,1,20.0,2,,2,,,,1,2,,,1,2,,2,4,3,100,35000000.0,Thirty-five million,33000000.0,THIRTY THREE MILLION,,100,0,0,,,,,,,,,,100,0,,,,,,,,,2,,2,2,3,-7.0,1.0,2.0,1.0,2.0,5.0,3.0,2.0,,1.0,2.0,1,-4.0,3.0,1,2,2,1,1,1.0,Anodized aluminum sheet metal,1,"Large sets of aluminum rings have been introduced to the market. It is worth mentioning that they have many buyers in the market because, in the Eastern Zone, this is the only company with the capacity to produce this product, and it has had a ",2,,,,,,,,,1,45.0,2.0,4,2,,1,1,40,60,0,0,0,0,0,2,,,,,,,,,,,,,,,,,1,2,2,,,,,,,,,,,2,2,2,6.0,,,2,20,3.0,,0.0,-6.0,20,3.0,,-6.0,10,1,4.0,2.0,2.0,,35,1,1,-6,,,2,,2,,0.0,,2,,,1,20.0,2.0,1,1,0,1,0,0,1,2,0,0,3,2,2,3,0,6,8,7,15,3,13,1,4,11,9,12,10,14,5,2,11,6,8,7,15,3,13,1,4,11,9,12,10,14,5,2,130,130,40.0,,,,,,0.0,70,60,0,1,,,,,,0.0,2,,,0,0,,,2,,,2,,2,1,2964,23712.0,156,1.0,,5000,22700000,908000.0,,,,4,9,8,2025,18,16,1,1,1,,,1,1,2,2,2,4649,4,3,2,1,1.0,1.0,1.2193496,59
1629081,31,2,1,1,1,3,1,5,2,1,1,9,8,2025,9,43,2024,3,21,95,1,,,,,,4,,1,100,0,0,0,2,,2000,5,2000,24,2,2,,2,,,,2,,,,,,2,,2,,2,,,,-6,2,,,1,2,,2,4,62,100,670000.0,Six hundred and seventy thousand,550000.0,Five hundred and fifty thousand,,100,0,0,,,,,,,,,,100,0,,,,,,,,,2,,4,3,3,,,,,,,,,,,,2,-4.0,3.0,3,2,2,2,2,,,2,,2,,,,,,,,,2,,,4,2,,2,2,70,0,0,0,0,0,30,2,,,,,,,,,,,,,,,,,1,2,2,,,,,,,,,,,2,2,2,7.0,,,2,0,,,,,0,,,,20,1,1.0,2.0,2.0,,80,2,2,-6,,,2,,2,,0.0,,2,,,2,,,4,2,2,2,0,1,1,2,3,3,2,1,2,1,2,14,15,9,11,3,13,4,8,6,12,5,2,10,1,7,1,14,15,9,11,3,13,4,8,6,12,5,2,10,1,7,5,5,5.0,,,,,,0.0,5,0,0,2,,,,,,,2,,,0,0,,,2,,,1,2.0,0,1,300,3000.0,0,,,0,343332,107400.0,,,,2,9,8,2025,10,45,1,1,1,,,1,1,1,1,2,5813,1,1,2,1,1.0,1.4166073,2.3864033,3
1629082,34,4,2,3,1,3,3,30,1,1,1,18,10,2025,10,21,2025,3,21,95,2,8.0,1.0,2.0,1.0,,3,,1,100,0,0,0,2,,2005,5,2005,20,2,2,,2,,,,2,,,,,,1,15.0,2,,2,,,,1,2,,,2,2,,2,4,62,60,4000000.0,Four million,5000000.0,Five million,,50,0,50,,,,,,,,,2005.0,100,0,,,,,,,,,2,,3,3,2,3.0,1.0,2.0,1.0,2.0,1.0,1.0,2.0,,1.0,3.0,3,,,1,2,2,2,2,,,2,,2,,,,,,,,,2,,,3,2,,2,2,100,0,0,0,0,0,0,2,,,,,,,,,,,,,,,,,1,2,2,,,,,,,,,,,2,2,2,3.0,,,2,0,,,,,0,,,,10,1,1.0,2.0,2.0,,160,1,1,2,,3.0,2,,2,,0.0,,2,,,2,,,0,0,0,1,0,2,0,1,2,0,1,1,0,1,2,13,7,4,8,12,9,6,11,14,5,10,15,3,1,2,15,13,7,4,8,12,9,6,11,14,5,10,15,3,1,2,8,10,20.0,,,,,,0.0,3,2,3,2,,,,,,,2,,,0,0,,,2,,,2,,0,0,291,3500.0,50,1.0,,500,1080000,10800.0,,,,20,18,10,2025,11,21,1,4,1,,,1,1,2,2,2,4922,3,2,4,1,2.1981578,3.7935452,6.288154,42
1629083,53,2,1,1,1,3,1,8,2,1,1,11,8,2025,14,14,2025,3,21,95,1,,,,,,4,,1,100,0,0,0,2,,2008,6,2008,20,2,2,,2,,,,2,,,,,,1,50.0,2,,2,,,,-7,2,,,1,2,,2,4,3,100,4200000.0,Four million two hundred thousand,2000000.0,Two million,,100,0,0,,,,,,,,,,0,100,1.0,China,1.0,2.0,0.0,0.0,0.0,8.0,2,,3,2,2,,,,,,,,,,,,2,30.0,3.0,3,2,2,2,2,,,2,,2,,,,,,,,,2,,,4,2,,2,2,100,0,0,0,0,0,0,1,2100000.0,0.0,100.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,1,2,2,,,,,,,,,,,2,2,2,1.0,,,2,25,3.0,,0.0,-5.0,20,3.0,,-5.0,5,1,1.0,2.0,2.0,,110,1,1,2,,3.0,2,,2,,0.0,,1,4.0,2.0,2,,,2,1,0,0,1,0,1,0,1,0,2,0,0,0,0,9,4,8,10,12,11,14,7,5,2,13,3,1,15,6,11,9,4,8,10,12,11,14,7,5,2,13,3,1,15,6,18,18,100.0,,,,,,0.0,10,4,4,2,,,,,,,2,,,0,0,,,2,,,2,,0,0,2500,30000.0,0,,,-9,1200000,95000.0,,,,20,11,8,2025,15,49,1,1,1,,,1,1,1,1,2,4690,1,1,2,1,1.0,1.187902,2.0011287,3
1629084,62,2,1,4,1,1,1,45,2,1,2,19,10,2025,11,56,2024,3,21,95,1,,,,,,5,,1,100,0,0,0,2,,2008,65,2008,22,2,1,9001 2015 COC,2,,,,1,25.0,2.0,30.0,,24100000.0,1,40.0,2,,2,,,,-6,2,,,1,2,,2,3,1,100,180000000.0,One hundred eighty million,177000000.0,One hundred seventy-seven million,90.0,100,0,0,,,,,,,,,,0,100,1.0,China,1.0,3.0,15.0,14.0,-9.0,20.0,1,1.0,4,4,1,1.0,1.0,2.0,1.0,2.0,5.0,3.0,2.0,,1.0,2.0,2,-4.0,3.0,1,2,2,2,1,1.0,"Tracer Optic Wire Pipe is a global and improved version of our products that has never been produced before. This pipe is used for fiber optic cables, which have their own characteristics.",2,,2,,,,,,,,,2,,,1,2,,2,1,100,0,0,0,0,0,0,1,11000000.0,0.0,70.0,,0.0,,0.0,,30.0,,0.0,,0.0,,0.0,,1,1,1,1.0,2024.0,30000000.0,2.0,,,,,,,2,2,1,,1.0,,2,50,3.0,,0.0,-5.0,10,3.0,,-5.0,50,1,1.0,2.0,2.0,,48,1,1,-6,,,1,2.0,1,30.0,0.0,,2,,,1,7.0,2.0,4,0,2,3,4,4,1,4,3,0,4,2,0,0,3,9,2,3,1,8,14,5,11,15,12,13,4,10,6,7,8,9,2,3,1,8,14,5,11,15,12,13,4,10,6,7,40,40,,20.0,25.0,15.0,0.0,0.0,,3,10,12,2,,,,,,,2,,,0,0,,,2,,,1,2.0,2,0,27000,550000.0,0,,,0,20000000,1000000.0,135000000.0,,201000000.0,4,19,10,2025,13,25,1,1,1,,,1,1,1,1,2,2220,4,1,2,1,1.4090905,1.485636,3.145818,50
