idstd,id,wmedian,wweak,finance_status,k162a,k162b,k17,k20a1,k6,k82a,k82b,k9,k11,k13,k14a,k14b,k14c,k14d,k14e,k15a,k32,a2,a3a,a3c,a6a,a6c,b4,b4a,b5,b6b,b7a,b8,d1a2_v4,d2,d3b,d3c,d8,h1,h5,h8,h9,n3,b1,b2a,b2b,b2c,d1a3,e1,e312,l4a1,l4a2,l4b
1629075,3,1.0,1.0,no_need,2,2,1.0,,2,2,1,-9.0,61200000.0,1.0,1.0,1.0,2.0,1.0,2.0,100000000.0,,3,3,2,2,17,2,,2006,2006,2,1,4922,62540000.0,10,30,2013.0,2,2,2,,57645000.0,4,100,0,0,100,3,,5,7,5
1629076,5,3.6934605,5.680274,discouraged,2,2,2.0,,1,2,2,,,,,,,,,,,3,3,2,1,85,2,,2021,2021,2,2,4290,9730500.0,0,0,,1,2,1,120000.0,5686000.0,3,100,0,0,72,2,3.0,4,2,2
1629077,9,1.0,1.0,no_need,2,2,1.0,,2,2,1,1.0,2200000.0,2.0,,,,,,,,3,3,2,2,1000,2,,2016,2016,2,2,1079,32058000.0,0,0,,1,2,1,150000.0,26740000.0,1,100,0,0,51,2,2.0,20,30,10
1629078,19,7.4039474,15.461971,no_need,2,2,1.0,,1,2,2,,,,,,,,,,,1,1,1,2,60,1,25.0,2002,2002,2,2,6190,56000000.0,0,0,,2,2,2,,15000000.0,4,100,0,0,100,2,3.0,3,10,47
1629079,20,6.096585,11.812615,discouraged,2,2,6.0,,1,2,2,,,,,,,,,,,1,1,1,1,10,2,,2003,2003,2,2,4290,50000000.0,0,0,,2,2,2,,30000000.0,4,100,0,0,100,1,3.0,10,8,17
1629080,22,1.0,1.2193496,discouraged,2,2,6.0,,1,2,2,,,,,,,,,,,4,4,2,3,130,2,,2007,2007,2,2,4649,35000000.0,0,0,,1,1,2,,33000000.0,4,100,0,0,100,1,3.0,70,60,0
1629081,31,1.4166073,2.3864033,other_reason,2,2,7.0,,1,2,2,,,,,,,,,,,1,1,1,1,5,2,,2000,2000,2,2,5813,670000.0,0,0,,2,2,2,,550000.0,4,100,0,0,100,2,3.0,5,0,0
1629082,34,3.7935452,6.288154,discouraged,2,2,3.0,,1,2,2,,,,,,,,,,,3,3,2,2,30,2,,2005,2005,2,2,4922,4000000.0,0,50,2005.0,2,2,2,,5000000.0,3,100,0,0,60,3,,3,2,3
1629083,53,1.187902,2.0011287,no_need,2,2,1.0,,1,2,2,,,,,,,,,,,1,1,1,1,8,2,,2008,2008,2,2,4690,4200000.0,0,0,,2,2,2,,2000000.0,4,100,0,0,100,2,3.0,10,4,4
1629084,62,1.485636,3.145818,approved_full,2,1,,1.0,1,1,1,1.0,30000000.0,2.0,,,,,,,,4,1,1,1,45,2,,2008,2008,2,1,2220,180000000.0,0,0,,1,2,2,,177000000.0,5,100,0,0,100,2,3.0,3,10,12
1629085,66,2.8094375,4.732753,outcome_unknown,1,2,,-9.0,2,2,2,,,,,,,,,,-9.0,1,1,1,1,10,1,100.0,2006,2010,1,2,1079,2500000.0,0,0,,2,2,2,,3200000.0,3,100,0,0,100,2,3.0,3,2,1
1629086,89,3.1384618,6.0810184,no_need,2,2,1.0,,2,2,1,-9.0,-8.0,2.0,,,,,,,,1,3,2,1,75,2,,2017,2017,2,2,4290,9000000.0,0,0,,2,2,1,50000.0,10000000.0,3,100,0,0,96,1,3.0,2,3,1
1629087,91,1.0,1.4299172,approved_full,1,1,,1.0,1,2,1,2.0,2000000.0,1.0,2.0,2.0,2.0,1.0,2.0,52000000.0,10.0,4,3,2,1,150,2,,2005,2005,2,2,4210,58000000.0,0,0,,1,2,1,-9.0,57000000.0,4,100,0,0,80,2,3.0,5,10,5
1629088,94,3.2991145,5.109369,no_need,2,2,1.0,,2,1,2,3.0,2800000.0,2.0,,,,,,,,2,2,2,1,25,2,,2018,2023,2,1,1520,60000000.0,0,0,,1,1,1,250000.0,100000000.0,3,100,0,0,100,2,3.0,4,6,10
1629089,95,1.0,1.3433032,discouraged,2,2,3.0,,2,2,2,,,,,,,,,,,2,4,2,2,17,2,,1987,1990,2,2,1071,2000000.0,0,0,,2,2,2,,3000000.0,3,100,0,0,100,1,3.0,6,7,4
1629090,97,1.0,1.0,no_need,2,2,1.0,,1,2,2,,,,,,,,,,,1,2,2,2,200,2,,2009,2009,2,1,2220,115000000.0,0,0,,2,2,2,,100000000.0,3,100,0,0,100,2,2.0,50,0,0
1629091,98,1.0,1.0,no_need,2,2,1.0,,2,2,2,,,,,,,,,,,3,1,1,2,25,2,,2002,2002,2,2,2651,2500000.0,0,0,,2,2,2,,1500000.0,4,100,0,0,40,1,2.0,6,1,0
1629092,110,9.380887,16.710087,rejected,2,1,,3.0,1,2,1,3.0,0.0,2.0,,,,,,,,2,2,2,1,100,2,,2010,2010,2,2,4690,20000000.0,0,0,,2,2,2,,25000000.0,4,100,0,0,90,2,3.0,40,40,20
1629093,112,6.7117434,13.004535,no_need,2,2,1.0,,1,2,2,,,,,,,,,,,1,1,1,1,5,2,,2005,2005,2,2,4100,1600000.0,0,0,,2,2,2,,5900000.0,3,100,0,0,100,1,3.0,4,1,1
1629094,127,1.0,1.0,no_need,2,2,1.0,,1,2,2,,,,,,,,,,,1,1,1,2,300,2,,1992,2005,2,2,4690,10000000000.0,0,0,,2,1,2,,9000000000.0,3,100,0,0,100,2,3.0,150,186,244
1629095,133,2.318501,4.283117,no_need,2,2,1.0,,2,2,2,,,,,,,,,,,3,3,2,1,10,2,,2014,2014,2,2,2396,80000000.0,0,0,,2,2,2,,90000000.0,3,100,0,0,100,1,2.0,4,4,0
1629096,139,7.745877,15.00825,approved_full,2,1,,1.0,1,2,1,1.0,26000000.0,2.0,,,,,,,,1,1,1,1,40,2,,2005,2005,2,2,4100,300000000.0,0,0,,2,2,1,600000.0,-7.0,3,100,0,0,100,2,3.0,10,5,10
1629097,146,4.422127,8.169282,no_need,2,2,1.0,,2,2,2,,,,,,,,,,,3,3,2,1,9,2,,2000,2012,2,2,4652,3200000.0,0,0,,1,2,1,20000.0,2400000.0,3,100,0,0,60,1,3.0,3,5,1
1629098,166,3.2423108,5.4619665,no_need,2,2,1.0,,2,2,2,,,,,,,,,,,1,1,1,1,25,2,,1999,1999,2,2,1079,20000000.0,0,0,,2,2,1,120000.0,15000000.0,4,100,0,0,100,2,3.0,3,7,10
1629099,172,1.1600405,7.6203885,no_need,2,2,1.0,,1,2,2,,,,,,,,,,,4,1,1,2,8,2,,2004,2004,2,2,4690,45000000.0,0,0,,1,2,2,,36000000.0,4,100,0,0,100,2,3.0,8,15,2
1629100,176,1.0,1.2874908,approved_full,1,2,,1.0,2,1,2,2.0,57000000.0,1.0,1.0,2.0,2.0,2.0,2.0,171000000.0,60.0,2,3,2,2,200,2,,2004,2004,2,1,2220,230000000.0,0,0,,2,2,2,,120000000.0,3,100,0,0,30,2,3.0,10,30,60
1629101,180,1.0,1.0089858,no_need,2,2,1.0,,1,2,2,,,,,,,,,,,3,3,2,3,80,2,,2021,2021,2,1,1079,300000000.0,0,0,,1,2,1,2000000.0,240000000.0,5,100,0,0,100,2,3.0,0,25,40
1629102,183,2.865227,6.13071,no_need,2,2,1.0,,1,2,2,,,,,,,,,,,2,2,2,1,8,2,,2023,2008,2,2,4690,20000000.0,0,100,2023.0,2,2,2,,15000000.0,3,100,0,0,100,3,,5,0,0
1629103,197,1.0,1.0,no_need,2,2,1.0,,1,2,2,,,,,,,,,,,2,2,2,1,30,2,,2016,2016,2,2,4690,2800000.0,0,0,,2,2,2,,3000000.0,3,100,0,0,100,2,3.0,10,5,15
1629104,200,1.0,1.7193897,discouraged,2,2,2.0,,1,2,2,,,,,,,,,,,2,1,1,1,52,2,,2009,2009,2,2,4210,13000000.0,0,0,,2,2,2,,7370000.0,3,100,0,0,50,1,3.0,25,20,5
1629105,227,1.7197016,4.3139143,discouraged,2,2,3.0,,1,2,2,,,,,,,,,,,1,3,2,2,80,2,,2019,2019,2,1,1079,165000000.0,0,5,2020.0,1,2,1,200000.0,120000000.0,5,100,0,0,70,2,3.0,4,10,26
1629106,228,1.1573018,1.6678603,no_need,2,2,1.0,,2,2,2,,,,,,,,,,,3,3,2,2,8,2,,2004,2011,2,2,2023,2900000.0,0,0,,2,2,2,,3200000.0,3,100,0,0,100,2,3.0,4,4,0
1629107,236,1.6453216,3.4359937,no_need,2,2,1.0,,1,2,2,,,,,,,,,,,1,1,1,2,10,2,,2007,2007,2,2,4100,7000000.0,0,0,,2,2,2,,2000000.0,3,100,0,0,100,1,3.0,4,5,0
1629108,240,3.2553558,6.013829,discouraged,2,2,4.0,,1,2,2,,,,,,,,,,,3,3,2,1,16,2,,2017,2018,2,1,2740,3500000.0,0,0,,1,2,1,420000.0,4500000.0,2,50,0,0,20,2,2.0,5,11,0
1629109,241,2.8911061,6.186084,no_need,2,2,1.0,,1,2,2,,,,,,,,,,,2,1,1,1,16,1,50.0,2011,2011,1,2,6190,10000000.0,0,0,,2,2,2,,3200000.0,4,100,0,0,50,1,3.0,6,2,10
1629110,247,3.2423108,5.4619665,no_need,2,2,1.0,,1,2,2,,,,,,,,,,,1,1,1,1,7,2,,2016,2016,2,2,2593,8000000.0,0,0,,2,2,2,,6000000.0,4,100,0,0,100,2,3.0,6,0,0
1629111,248,1.0,1.0,no_need,2,2,1.0,,2,2,2,,,,,,,,,,,3,1,1,1,24,2,,2013,2013,2,2,1709,5000000.0,0,0,,1,2,1,100000.0,3200000.0,5,95,0,0,70,2,3.0,8,8,0
1629112,252,1.2638543,1.8214197,in_process,1,2,,-6.0,1,2,2,,,,,,,,,,,3,3,2,2,8,2,,2012,2012,2,2,2819,2500000.0,0,0,,1,2,2,,2300000.0,4,100,0,0,70,2,2.0,2,1,1
1629113,261,1.0,1.0,no_need,2,2,1.0,,1,2,2,,,,,,,,,,,2,2,2,2,34,2,,2010,2010,2,1,1104,13260000.0,0,0,,1,2,2,,7000000.0,3,100,0,0,100,2,2.0,8,20,6
1629114,269,1.0,1.3670076,discouraged,2,2,2.0,,2,2,2,,,,,,,,,,,3,3,2,2,22,2,,2011,2011,2,2,2220,39328422.0,0,0,,2,2,2,,74982845.0,3,100,0,0,100,1,3.0,3,27,0
1629115,273,1.0626643,1.7738142,no_need,2,2,1.0,,1,2,2,,,,,,,,,,,2,2,2,2,18,2,,2008,2008,2,2,5210,1900000.0,0,0,,2,2,2,,3500000.0,3,100,0,0,100,2,2.0,4,10,4
