variable,code,text,labelset
a4a,1,Mining,
a4a,2,Manufacturing,
a4a,3,Retail,
a4a,4,Other Services,
a6a,1,Small,
a6a,2,Medium,
a6a,3,Large,
a2,1,Kabul,
a2,2,North,
a2,3,West & Southwest,
a2,4,East & Southeast,
a1c,1,Establishment,
a1c,2,Firm,
a0,1,Manufacturing,
a0,2,Retail services,
a0,3,Other services,
a3a,1,Kabul,
a3a,2,North,
a3a,3,West & Southwest,
a3a,4,East & Southeast,
a7,1,Yes,
a7,2,No,
panel,0,Fresh,
panel,1,Panel,
a1a,1,Afghani,
a7a,-9,Don't know (spontaneous),
a7b,1,Yes,
a7b,2,No,
a11,1,Yes,
a11,2,No,
a7c,1,Yes,
a7c,2,No,
a9,1,Yes,
a9,2,No,
b1,-9,Don't know (spontaneous),
b1,1,Shareholding company with shares traded on the stock market,
b1,2,Shareholding company with non-traded shares or shares traded privately,
b1,3,Sole proprietorship,
b1,4,Partnership,
b1,5,Limited partnership,
b1,6,Other,
b3a,-9,Don't know (spontaneous),
b3a,1,Yes,
b3a,2,No,
b2a,-9,Don't know (spontaneous),
b2a,100,Fully domestically owned (private),
b2b,-9,Don't know (spontaneous),
b2b,100,Fully foreign owned (private),
b2c,-9,Don't know (spontaneous),
b2c,100,Fully government or state owned,
b2d,-9,Don't know (spontaneous),
b4,-9,Don't know (spontaneous),
b4,1,Yes,
b4,2,No,
b4a,-9,Don't know (spontaneous),
b5,-9,Don't know (spontaneous),
b6,-9,Don't know (spontaneous),
b6b,-9,Don't know (spontaneous),
b6b,-7,Never regiestered (spontaneous),
b7,-9,Don't know (spontaneous),
b7,1,One year or less,
b7a,-9,Don't know (spontaneous),
b7a,1,Yes,
b7a,2,No,
b8,-9,Don't know (spontaneous),
b8,-6,Still in process,
b8,1,Yes,
b8,2,No,
c3,-9,Don't know (spontaneous),
c3,1,Yes,
c3,2,No,
c4,-9,Don't know (spontaneous),
c4,-6,Still in process,
c4,-5,Application denied,
c4,1,One day or less,
c5,-9,Don't know (spontaneous),
c5,-8,Refusal (spontaneous),
c5,1,Yes,
c5,2,No,
c31,-9,Don't know (spontaneous),
c6,-9,Don't know (spontaneous),
c6,1,Yes,
c6,2,No,
c7,-9,Don't know (spontaneous),
c8a,-9,Don't know (spontaneous),
c8b,-9,Don't know (spontaneous),
c8b,1,One minute or less,
c9a,-9,Don't know (spontaneous),
c9a,0,No Losses,
c9b,-9,Don't know (spontaneous),
c9b,0,No Losses,
c10,-9,Don't know (spontaneous),
c10,1,Yes,
c10,2,No,
c11,-9,Don't know (spontaneous),
c43,-9,Don't know (spontaneous),
c43,1,Yes,
c43,2,No,
c44,-9,Don't know (spontaneous),
c12,-9,Don't know (spontaneous),
c12,1,Yes,
c12,2,No,
c13,-9,Don't know (spontaneous),
c13,-6,Still in process,
c13,-5,Application denied,
c13,1,One day or less,
c14,-9,Don't know (spontaneous),
c14,-8,Refusal (spontaneous),
c14,1,Yes,
c14,2,No,
c33,-9,Don't know (spontaneous),
c45,-9,Don't know (spontaneous),
c45,-7,ESTABLISHMENT DOES NOT HAVE PIPED WATER FROM A UTILITY PROVIDER,
c45,-6,PIPED WATER NOT USED FOR OPERATIONS,
c45,1,It is suitable for all operational needs,
c45,2,It is suitable for only some operational needs,
c45,3, It is not suitable for any operational needs,
c152,-9,Don't know (spontaneous),
c152,1,Yes,
c152,2,No,
c162,-9,Don't know (spontaneous),
c172,-9,Don't know (spontaneous),
c172,1,One hour or less,
c22b,-9,Don't know (spontaneous),
c22b,1,Yes,
c22b,2,No,
c36,-9,Don't know (spontaneous),
c36,1,Yes,
c36,2,No,
c37,-9,Don't know (spontaneous),
c37,-6,Still in process,
c37,-5,Application denied,
c37,1,One day or less,
c39,-9,Don't know (spontaneous),
c39,-7,The establishment does not have an internet connection,
c39,1,Yes,
c39,2,No,
c42,-9,Don't know (spontaneous),
c42,-7,There is only one available internet provider,
c42,1,Unable to change provider,
c42,2,With some difficulty,
c42,3,With little difficulty,
c42,4,With no difficulty at all,
d1a1a,1,Manufacturing of,
d1a1a,2,Retail trade of,
d1a1a,3,Wholesale trade of,
d1a1a,4,Construction of,
d1a1a,11,Printing and reproduction of recorded media,
d1a1a,12,Repair of manufacturing machinery or equipment,
d1a1a,51,Hotel,
d1a1a,52,Restaurant,
d1a1a,61,"Repair of motor vehicles, computers, or household goods",
d1a1a,62,Other services,
d1a3,-9,Don't know (spontaneous),
d2,-9,Don't know (spontaneous),
n3,-9,Don't know (spontaneous),
n3,-7,Establishment was not in business in Fiscal Year,
f1,-9,Don't know (spontaneous),
d3a,-9,Don't know (spontaneous),
d3b,-9,Don't know (spontaneous),
d3c,-9,Don't know (spontaneous),
d42,-9,Don't know (spontaneous),
d42,1,Yes,
d42,2,No,
d43a,-9,Don't know (spontaneous),
d43a,0,Less than one day,
d43b,-9,Don't know (spontaneous),
d4a,-9,Don't know (spontaneous),
d4a,0,Less than one day,
d4b,-9,Don't know (spontaneous),
d342,-9,Don't know (spontaneous),
d352,-9,Don't know (spontaneous),
d352,1,Yes,
d352,2,No,
d8,-9,Don't know (spontaneous),
d12a,-9,Don't know (spontaneous),
d12b,-9,Don't know (spontaneous),
d13,-9,Don't know (spontaneous),
d13,1,Yes,
d13,2,No,
d44,-9,Don't know (spontaneous),
d44,1,Yes,
d44,2,No,
d45a,-9,Don't know (spontaneous),
d45a,0,Less than one day,
d45b,-9,Don't know (spontaneous),
d14a,-9,Don't know (spontaneous),
d14a,-7,Does not apply (spontaneous),
d14a,0,Less than one day,
d14b,-9,Don't know (spontaneous),
d412,-9,Don't know (spontaneous),
o1,-9,Don't know (spontaneous),
o1,1,Yes,
o1,2,No,
o2,-9,Don't know (spontaneous),
o2,1,Yes,
o2,2,No,
o3a2,-9,Don't know (spontaneous),
o3a2,-7,Does not apply (spontaneous),
o3a2,1,Strongly disagree,
o3a2,2,Tend to disagree,
o3a2,3,Tend to agree,
o3a2,4,Strongly agree,
o3b2,-9,Don't know (spontaneous),
o3b2,-7,Does not apply (spontaneous),
o3b2,1,Strongly disagree,
o3b2,2,Tend to disagree,
o3b2,3,Tend to agree,
o3b2,4,Strongly agree,
j31,-9,Don't know (spontaneous),
j31,-7,Does not apply (spontaneous),
j31,1,Strongly disagree,
j31,2,Tend to disagree,
j31,3,Tend to agree,
j31,4,Strongly agree,
r1,-9,Don't know (spontaneous),
r1,-7,Does not apply (spontaneous),
r1,1,We fixed it but did not take further action,
r1,2,We fixed it and took action to make sure it did not happen again,
r1,3,"We fixed it and took action to make sure that it did not happen again, and had a continuous improvement process to anticipate problems like these in advance",
r1,4,No action was taken,
r2,-9,Don't know (spontaneous),
r2,1,Yes,
r2,2,No,
r3,-9,Don't know (spontaneous),
r3,1,1-2 production performance indicators,
r3,2,3-9 production performance indicators,
r3,3,10 or more production performance indicators,
r4,-9,Don't know (spontaneous),
r4,1,Yes,
r4,2,No,
r5,-9,Don't know (spontaneous),
r5,1,Main focus was on short-term (less than one year) production targets,
